ID;№ п/п;ID ПВЗ;Адрес ПВЗ;ID региона;Руководитель филиалов;Компания
1;1;5129;Алматы, ул. Жарокова, д. 8;1;Салтанат;ИП Жасмин
2;2;111497;Алматы, ул. Жубанова, д. 5б;1;Салтанат;ИП Жасмин
3;3;4204;Алматы, ул. Манаса, д. 33/12;1;Салтанат;ИП Жасмин
4;4;2090;Алматы, ул. Пушкина, д. 60;1;Салтанат;ИП Жасмин
5;5;155819;Алматы, улица Шагабутдинова, 49;1;Салтанат;ИП Жасмин
6;6;103784;Алматы, ул. Кайрбекова, 35А;1;Салтанат;ИП Жасмин
7;7;146649;Алматы, микрорайон Орбита-1, 37;1;Салтанат;ИП Жасмин
8;8;140349;Алматы, ул. Розыбакиева, 70;1;Салтанат;ИП Жасмин
9;9;2404;Алматы, ул. Жандосова, д. 150а;1;Салтанат;ИП Жасмин
10;10;1122;Алматы, ул. Сейфуллина, 420;1;Салтанат;ИП Жасмин
11;11;108011;Капшагай, мкр. 5, д. 27/1;1;Шынар;ИП Жасмин
12;12;107363;Есик, ул. Алтын Аллеясы, д. 119а;1;Шынар;ИП Жасмин
13;13;2344;Талдыкорган, ул. И. Жансугурова, д. 98;1;Шынар;ИП Жасмин
14;14;101634;Талдыкорган, ул. Тауелсиздик, д. 103;1;Шынар;ИП Жасмин
15;15;167580;г Астана  Умай ана 14;2;Лилия;ИП Ориентал
16;16;150721;г. Астана, р-н Байконыр, ул. Баянауыл, 71;2;Лилия;ИП Жасмин
17;17;316701;г Астана Бауыржан Момышулы 2/4 А;2;Лилия;ИП Ориентал
18;18;50035323;г. Астана, р-н Алматы, пр. Каныш Сатпаев 25;2;Лилия;ИП Жасмин
19;19;156629;г. Астана р-н Байконыр, Адольфа Янушкевича, д. 1;2;Лилия;ИП Жасмин
20;20;50001191;г Астана Куйши Дина 14;2;Лилия;ИП Ориентал
21;21;5771;Астана, пр. Женис, д. 52;3;Айнур;ИП Жасмин
22;22;135366;Астана , пр. Петрова ,10;3;Айнур;ИП Жасмин
23;23;50140757;г Астана ул Акмешит, д.11;3;Айнур;ИП Жасмин
24;24;110972;г. Астана, пр. Туран, д. 9;3;Айнур;ИП Жасмин
25;25;50100802;г.Астана, ул Е 67 д 8;3;Айнур;ТОО PVZ.kz
26;26;50062171;г.Астана, пр. Кабанбай Батыр, д. 40;3;Айнур;ИП Жасмин
27;27;50034972;Астана, Проспект Улы Дала, 65/2;3;Айнур;ИП Жасмин
28;28;688;г.Астана, пр.Сарыарка, д.11, ВП 13;3;Айнур;ИП Жасмин
29;29;304673;г.Астана Кабанбай батыра 45/3;3;Айнур;ИП Ориентал
30;30;327906;Астана , ул Анет баба 9/3;3;Айнур;ИП Ориентал
31;31;304514;Астана ул  Санжара Асфендиярова 6;3;Айнур;ИП Ориентал
32;32;50009003;Астана  ул  Мухамедханова  дом 4в;2;Айнур;ИП Ориентал
33;33;312008;Астана ул Е-899;2;Айнур;ИП Ориентал
34;34;3102;Актобе, мкр. 11, д. 13;4;Асель;ИП Жасмин
35;35;289;Актобе, пр-кт Абылхайыр хана 76, 1А;4;Асель;ИП Жасмин
36;36;2536;Актобе, пр. Победы, д. 11;4;Асель;ИП Жасмин
37;37;109515;Актобе, ул. Сатпаев 10 а;4;Асель;ИП Жасмин
